frame_id,knee_angle_r,knee_angle_l,elbow_angle_r,elbow_angle_l,hip_angle_r,hip_angle_l,shoulder_angle_r,shoulder_angle_l
0,177.39465203742773,168.8084607452947,30.35488982324414,147.9347694193968,159.07622907575748,149.08601731649352,78.54602430221125,103.41528357980009
1,177.68626375627647,168.5604943296142,33.23201794328717,149.14182162109427,158.92747969709822,148.64560470223716,79.05887952064252,103.89065322096674
2,177.92748401660066,168.91843881665412,31.346591167722007,149.90976447113513,158.85334740104406,148.97314346677152,74.7418747870111,103.61169498889706
3,177.716089984464,169.0231430128302,137.0460811158675,150.69800524684743,158.35503427213587,149.20082700772008,96.03924419939577,103.92679680511566
4,176.9902612087814,169.81208586586186,133.59962048533598,151.8044089181143,157.40324823888605,149.28770901917972,95.01363963772347,103.90146563404295
5,176.39334448167205,169.85636153510617,130.9073599059072,151.46838475702427,156.96603811443717,149.34124840742047,92.08702770857326,103.61045060680672
6,175.76594960228238,170.25881360619303,124.97777916552432,151.55038123256827,156.97317575981958,149.81274322554432,85.59345734834042,103.21055450689497
7,175.48940248533748,170.6246937694837,131.99348772754698,151.62610302837982,156.52304743670965,150.06305293201044,89.90997702670387,103.01298606146499
8,175.67824460500765,170.33050825224493,129.0762883728498,151.32382151830532,156.38330426911202,149.89136791421583,86.064695446943,103.06655481465634
9,175.87749601887924,170.01715206473241,129.7119646175174,151.67695244703214,156.22888432763327,149.73433189349294,85.67984063691738,102.886739624477
10,176.0416407886852,169.74601476980163,128.53090597281718,151.67025690309035,156.1371741872872,149.58757354417395,83.93494062573095,102.74152753816936
11,176.3255180322561,169.30086763437947,128.509416684294,152.04960837469923,156.68178937576087,149.2149725332348,84.83585810843057,102.76542802520544
12,176.47001539155826,169.10265758105004,127.89454525731426,152.2919375425875,157.12232660539644,148.48706544117607,84.05927790155057,103.10224625843635
13,176.67107063933472,169.62684425975743,123.01833119063184,152.9299140108314,157.34765116005428,148.43132928114267,83.96260309412706,103.19499203460805
14,176.64071018035847,169.650557303974,142.89047162829732,152.3393082334848,157.87194740602843,147.92941137363817,98.22039607031716,103.45714000805016
