frame_id,knee_angle_r,knee_angle_l,elbow_angle_r,elbow_angle_l,hip_angle_r,hip_angle_l,shoulder_angle_r,shoulder_angle_l,label
0,177.39465203742773,168.8084607452947,30.35488982324414,147.9347694193968,159.07622907575748,149.08601731649352,78.54602430221125,103.41528357980009,good
1,177.68626375627647,168.5604943296142,33.23201794328717,149.14182162109427,158.92747969709822,148.64560470223716,79.05887952064252,103.89065322096674,good
2,177.92748401660066,168.91843881665412,31.346591167722007,149.90976447113513,158.85334740104406,148.97314346677152,74.7418747870111,103.61169498889706,good
3,177.716089984464,169.0231430128302,137.0460811158675,150.69800524684743,158.35503427213587,149.20082700772008,96.03924419939577,103.92679680511566,good
4,176.9902612087814,169.81208586586186,133.59962048533598,151.8044089181143,157.40324823888605,149.28770901917972,95.01363963772347,103.90146563404295,good
5,176.39334448167205,169.85636153510617,130.9073599059072,151.46838475702427,156.96603811443717,149.34124840742047,92.08702770857326,103.61045060680672,good
6,175.76594960228238,170.25881360619303,124.97777916552432,151.55038123256827,156.97317575981958,149.81274322554432,85.59345734834042,103.21055450689497,good
7,175.48940248533748,170.6246937694837,131.99348772754698,151.62610302837982,156.52304743670965,150.06305293201044,89.90997702670387,103.01298606146499,good
8,175.67824460500765,170.33050825224493,129.0762883728498,151.32382151830532,156.38330426911202,149.89136791421583,86.064695446943,103.06655481465634,good
9,175.87749601887924,170.01715206473241,129.7119646175174,151.67695244703214,156.22888432763327,149.73433189349294,85.67984063691738,102.886739624477,good
10,176.0416407886852,169.74601476980163,128.53090597281718,151.67025690309035,156.1371741872872,149.58757354417395,83.93494062573095,102.74152753816936,good
11,176.3255180322561,169.30086763437947,128.509416684294,152.04960837469923,156.68178937576087,149.2149725332348,84.83585810843057,102.76542802520544,good
12,176.47001539155826,169.10265758105004,127.89454525731426,152.2919375425875,157.12232660539644,148.48706544117607,84.05927790155057,103.10224625843635,good
13,176.67107063933472,169.62684425975743,123.01833119063184,152.9299140108314,157.34765116005428,148.43132928114267,83.96260309412706,103.19499203460805,good
14,176.64071018035847,169.650557303974,142.89047162829732,152.3393082334848,157.87194740602843,147.92941137363817,98.22039607031716,103.45714000805016,good
15,176.13054497188887,169.63385889336317,153.7157645566534,152.3233819865607,158.16818399476378,147.53798782641346,106.0482686127933,104.09686205624669,good
16,176.62044818544257,169.38501879400118,159.7834251484729,155.27415463669334,159.86258975383205,146.2568588665827,112.90551727539727,107.99099369618307,good
17,176.2525826880426,168.26884090504586,153.93263289744243,156.17359011478973,161.687340852377,144.12553416856952,110.66780363895734,111.06391726050289,good
18,176.48297186484294,167.30735363190723,155.32561274223838,155.0607936489315,162.69026969877248,142.57312669384936,109.9547517219577,112.3527531172853,good
19,176.74952811606457,166.29468330497735,148.62737694350633,154.11856694004138,163.40891170872055,140.8620341116522,104.62639890138549,113.45809119772142,good
20,177.21303002835623,164.25253045754877,136.68444143840227,152.79512670654907,166.50089268709047,137.33849771806436,97.22593794680522,115.55769671356768,good
21,178.2264957329243,162.35650710802176,139.68549987908435,153.77196063111407,169.0437268379435,134.67326509784513,102.70913719573089,117.3619360210481,good
22,178.38583838851397,160.1659920358422,141.6285060527443,149.82439893460457,170.33942780128598,131.65676638894172,110.85661442558902,118.98825870800457,good
23,178.13362956911024,156.9625119392419,142.29873674078965,153.44723085862182,170.7469721845519,128.43940107597018,108.99207516333924,119.44004643600248,good
24,177.3768723202404,152.789695430942,142.6736226968126,154.94622581934118,171.79134394244736,125.02695446528658,113.52295217025835,120.7673588640198,good
25,176.3198034325535,148.64608223574058,142.12020454482146,154.8617626439311,172.96185016761805,121.87629184056915,117.51563943750804,121.13180289284897,good
26,175.63360392168684,144.50194950637425,144.03677570046358,156.2380422653013,173.75912979708121,118.18836267244825,120.15290885668088,122.10077848347346,good
27,174.57063473619954,140.15432510109866,128.99985448441785,155.8863599159536,174.0582284868205,115.19792704149357,110.48453871341623,121.59385196410318,good
28,172.31597758355161,135.92342715212175,126.38936415962579,156.03848571189275,173.25964181429615,111.40714793910641,111.61608871040009,121.68359740875508,good
29,169.12761700459754,129.9886353299212,103.89689691553235,156.3130161191623,171.40373945528776,107.59101526243902,88.5770307017275,122.30811557633646,good
30,167.9096517509625,125.04074273137353,114.63052078470163,155.61350992845036,170.6074921898723,104.61467902019969,98.10362318386754,122.68098773391274,good
31,167.7193268116399,124.13852422486552,55.48002046544611,159.33450493328465,170.15653677351767,104.30513344789702,39.14805778457146,122.24033642445826,good
